
	Consulta títulos com registro	G3353012303491371 10/09/2020 15:54:46	
Beneficiário		
Agência	674-2	
Beneficiário	3612-9 EMPRESA MODELO LTDA	
Data do movimento	08/09/2020	
Totais						
Operação	Quantidade	Valor	
Registrado	31	29.409,00 C	
Liquidado (Vlrs. Nominais)	14	18.052,78 C	
- Acrescimos	1	11,94 C	
Vlr.Rec.CBR.Simples/Vinc.	14	18.064,72 C	
- Valor sem Float	0	0,00	
- Valor com Float	14	18.064,72 C	
- Valor com Cheque a Comp.	0	0,00	
Lancamentos Cobranca	31	97,03 D	
- Total de Debito no dia	31	97,03 D	
- Tarifas	31	97,03 D	
- Despesas Cartorarias	0	0,00 D	
- Total de Credito no dia	0	0,00 C	
Lancamentos Desc./Vendor	0	0,00 C	
- Debito Desconto/Vendor	0	0,00 D	
- Credito Desconto/Vendor	0	0,00 C	
Valor Recebido - Desconto	0	0,00 C	
Valor Recebido - Vendor	0	0,00 C	
MODALIDADE SIMPLES CARTEIRA:17 VARIACAO:19													
Nosso nro.	Nome pagador	Vencto.	Dt.oper	Vl.título	Tarifa	Acrésc.	Abat/Desc.	Op.	Vl.líquido	Nº beneficiário	Ag.rec.	 	
15106990000007969-7	CLIENTE 01 LTDA	11/09/2020	08/09/2020	2.454,10	0,00	0,00	0,00	LQB	2.454,10 *	6616/02	1981-X		
15106990000007753-8	CLIENTE 15 LTDA	12/09/2020	08/09/2020	475,68	0,00	0,00	0,00	LQB	475,68 *	6474/03	1981-X		
15106990000007960-3	CLIENTE 03 LTDA	17/09/2020	08/09/2020	873,33	0,00	0,00	0,00	LQB	873,33 *	6611/01	1981-X		
15106990000007996-4	CLIENTE 14 LTDA	03/10/2020		1.131,66	3,13	0,00	0,00	RGP	3,13 D	6639/01			
15106990000008000-8	CLIENTE 07 LTDA	03/10/2020		606,00	3,13	0,00	0,00	RGP	3,13 D	6635/01			
15106990000008003-2	CLIENTE 09 LTDA	04/10/2020		1.456,00	3,13	0,00	0,00	RGP	3,13 D	6642/01			
15106990000008006-7	CLIENTE 18 LTDA	04/10/2020		749,00	3,13	0,00	0,00	RGP	3,13 D	6643/01			
15106990000008008-3	CLIENTE 28 LTDA	04/10/2020		1.414,00	3,13	0,00	0,00	RGP	3,13 D	6644			
15106990000008009-1	CLIENTE 28 LTDA	04/10/2020		1.060,50	3,13	0,00	0,00	RGP	3,13 D	6645/01			
15106990000008014-8	CLIENTE 28 LTDA	04/10/2020		707,00	3,13	0,00	0,00	RGP	3,13 D	6649/01			
15106990000008016-4	CLIENTE 13 LTDA	04/10/2020		499,33	3,13	0,00	0,00	RGP	3,13 D	6650/01			
15106990000008019-9	CLIENTE 16 LTDA	04/10/2020		2.784,00	3,13	0,00	0,00	RGP	3,13 D	6652			
15106990000008020-2	CLIENTE 11 LTDA	04/10/2020		706,00	3,13	0,00	0,00	RGP	3,13 D	6653			
15106990000008021-0	CLIENTE 12 LTDA	04/10/2020		706,00	3,13	0,00	0,00	RGP	3,13 D	6654			
15106990000008022-9	CLIENTE 27 LTDA	08/10/2020		764,00	3,13	0,00	0,00	RGP	3,13 D	6655/01			
15106990000007995-6	CLIENTE 08 LTDA	18/10/2020		384,00	3,13	0,00	0,00	RGP	3,13 D	6638			
15106990000008011-3	CLIENTE 06 LTDA	19/10/2020		1.484,00	3,13	0,00	0,00	RGP	3,13 D	6647/01			
15106990000007994-8	CLIENTE 05 LTDA	03/11/2020		792,00	3,13	0,00	0,00	RGP	3,13 D	6637			
15106990000007997-2	CLIENTE 14 LTDA	03/11/2020		1.131,66	3,13	0,00	0,00	RGP	3,13 D	6639/02			
15106990000007999-9	CLIENTE 04 LTDA	03/11/2020		408,00	3,13	0,00	0,00	RGP	3,13 D	6636			
15106990000008001-6	CLIENTE 07 LTDA	03/11/2020		606,00	3,13	0,00	0,00	RGP	3,13 D	6635/02			
15106990000008002-4	CLIENTE 25 LTDA	04/11/2020		707,00	3,13	0,00	0,00	RGP	3,13 D	6641			
15106990000008004-0	CLIENTE 09 LTDA	04/11/2020		1.456,00	3,13	0,00	0,00	RGP	3,13 D	6642/02			
15106990000008007-5	CLIENTE 18 LTDA	04/11/2020		749,00	3,13	0,00	0,00	RGP	3,13 D	6643/02			
15106990000008010-5	CLIENTE 28 LTDA	04/11/2020		1.060,50	3,13	0,00	0,00	RGP	3,13 D	6645/02			
15106990000008013-X	CLIENTE 17 LTDA	04/11/2020		742,00	3,13	0,00	0,00	RGP	3,13 D	6648			
15106990000008015-6	CLIENTE 28 LTDA	04/11/2020		707,00	3,13	0,00	0,00	RGP	3,13 D	6649/02			
15106990000008017-2	CLIENTE 13 LTDA	04/11/2020		499,33	3,13	0,00	0,00	RGP	3,13 D	6650/02			
15106990000008023-7	CLIENTE 27 LTDA	08/11/2020		764,00	3,13	0,00	0,00	RGP	3,13 D	6655/02			
15106990000008012-1	CLIENTE 06 LTDA	19/11/2020		1.484,00	3,13	0,00	0,00	RGP	3,13 D	6647/02			
15106990000007998-0	CLIENTE 14 LTDA	03/12/2020		1.131,68	3,13	0,00	0,00	RGP	3,13 D	6639/03			
15106990000008005-9	CLIENTE 09 LTDA	04/12/2020		1.456,00	3,13	0,00	0,00	RGP	3,13 D	6642/03			
15106990000008018-0	CLIENTE 13 LTDA	04/12/2020		499,34	3,13	0,00	0,00	RGP	3,13 D	6650/03			
15106990000008024-5	CLIENTE 27 LTDA	08/12/2020		764,00	3,13	0,00	0,00	RGP	3,13 D	6655/03			

		
Transação efetuada com sucesso por: JC123123 NOME ADMINISTRADOR.		
 	
Serviço de Atendimento ao Consumidor - SAC 0800 729 0722	Ouvidoria BB 0800 729 5678	
	Para deficientes auditivos 0800 729 0088	

